1 курс;1 курс;БИЗНЕС-ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА;ПРОГРАММНАЯ ИНЖЕНЕРИЯ;ПРОГРАММНАЯ ИНЖЕНЕРИЯ;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ; ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ; ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ;ПРИКЛАДНАЯ ИНФОРМАТИКА;ПРИКЛАДНАЯ ИНФОРМАТИКА;ПРИКЛАДНАЯ ИНФОРМАТИКА;ПРИКЛАДНАЯ ИНФОРМАТИКА; ИНФОРМАЦИОННЫЕ СИСТЕМЫ И ТЕХНОЛОГИИ; ИНФОРМАЦИОННЫЕ СИСТЕМЫ И ТЕХНОЛОГИИ; ИНФОРМАЦИОННЫЕ СИСТЕМЫ И ТЕХНОЛОГИИ; ИНФОРМАЦИОННЫЕ СИСТЕМЫ И ТЕХНОЛОГИИ;2 курс;2 курс;БИЗНЕС-ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ;ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ;ПРИКЛАДНАЯ ИНФОРМАТИКА;ПРИКЛАДНАЯ ИНФОРМАТИКА;ПРИКЛАДНАЯ ИНФОРМАТИКА;ИНФОРМАЦИОННЫЕ СИСТЕМЫ И ТЕХНОЛОГИИ;ИНФОРМАЦИОННЫЕ СИСТЕМЫ И ТЕХНОЛОГИИ;ИНФОРМАЦИОННЫЕ СИСТЕМЫ И ТЕХНОЛОГИИ;3 курс;3 курс;БИЗНЕС-ИНФОРМАТИКА И ПРИКЛАДНАЯ ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА И ПРИКЛАДНАЯ ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА И ПРИКЛАДНАЯ ИНФОРМАТИКА;БИЗНЕС-ИНФОРМАТИКА И ПРИКЛАДНАЯ ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;4 курс;4 курс;МАТЕМАТИЧЕСКИЕ МЕТОДЫ В ЭКОНОМИКЕ;МАТЕМАТИЧЕСКИЕ МЕТОДЫ В ЭКОНОМИКЕ;МАТЕМАТИЧЕСКИЕ МЕТОДЫ В ЭКОНОМИКЕ;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ФУНДАМЕНТАЛЬНАЯ ИНФОРМАТИКА И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;5 курс;5 курс;МАТЕМАТИЧЕСКИЕ МЕТОДЫ В ЭКОНОМИКЕ;МАТЕМАТИЧЕСКИЕ МЕТОДЫ В ЭКОНОМИКЕ;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ МАТЕМАТИКА И ИНФОРМАТИКА;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;ПРИКЛАДНАЯ ИНФОРМАТИКА В ГУМАНИТАРНОЙ СФЕРЕ;Магистры;Магистры;1 курс;1 курс;1 курс;1 курс;2 курс;2 курс;Магистры;Магистры
среда;17.40-19.00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;среда;17.40-19.00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;среда;17.40-19.00; ; ; ; ;СК 801 Кораблев;ч/нМС 809 Медведев; ; ; ; ; ;н/нСИТ 809 Косолапов; ; ; ; ;ТИ 1111 Галиуллин;Web-технологии 1112 Хуснетдинова; ;Уравнения математической физики 1008 Гнеденкова;Уравнения математической физики 1008 Гнеденкова;среда;17.40-19.00;ДГМА 1113 Евсеев;ДГМА 1113 Евсеев;ДГМА 1113 Евсеев; ;СК 811 Тимербаев;СК 810 Задворнов;СК 905 Ахтямов; ;ЧМ 904 Глазырина; ; ;н/нИБКС (1/2) 808 Ишмухаметов;н/нСК 1006 Салтанов;ч/нСК 1006 Салтанов;ПИС 1009 Бурганова; ; ;Пр. курс АЯ 1114 ;Пр. курс АЯ 1114 ; ; ;среда;17.40-19.00; ; ; ; ; ; ; ; ;СК 909 Филиппов; ; ; ; ;Природа ребенка 1306 Русинова; ; ;среда;17.40-19.00;Анализ сложных систем (КВ) 1406 Коннов; ; ;НИС 1211 Даутов;СК 907 Пшеничный;Методы оптимизации 1010 Заботин;17.40-19.00;среда
среда;17.40-19.00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;среда;17.40-19.00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;среда;17.40-19.00; ; ; ; ;СК 801 Кораблев; ; ; ; ; ; ; ; ; ; ; ;ТИ 1111 Галиуллин;Web-технологии 1112 Хуснетдинова; ;Уравнения математической физики 1008 Гнеденкова;Уравнения математической физики 1008 Гнеденкова;среда;17.40-19.00;ДГМА 1113 Евсеев;ДГМА 1113 Евсеев;ДГМА 1113 Евсеев; ;СК 811 Тимербаев;СК 810 Задворнов;СК 905 Ахтямов; ;ЧМ 904 Глазырина; ; ;ч/нИБКС (1/2) 808 Ишмухаметов; ; ;ПИС 1009 Бурганова; ; ;Пр. курс АЯ 1114 ;Пр. курс АЯ 1114 ; ; ;среда;17.40-19.00; ; ; ; ; ; ; ; ;СК 909 Филиппов; ; ; ; ;Природа ребенка 1306 Русинова; ; ;среда;17.40-19.00;Анализ сложных систем (КВ) 1406 Коннов; ; ;НИС 1211 Даутов;СК 907 Пшеничный;Методы оптимизации 1010 Заботин;17.40-19.00;среда
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
четверг; 8.30- 9.50;МА 1114 Асхатов;МА 1114 Асхатов;МА 905 Жаркова;МА 905 Жаркова; ;Программирование 810 Мухтарова; ; ; ; ;Уч. пр-ка 910 Мубаракзянов;Уч. пр-ка 909 Бухараев;н/нА и Г 1010 Александрова; ; ; ;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров; ; ; ; ; ; ; ; ;четверг; 8.30- 9.50; ; ; ; ;ДУ 1006 Конюхов;ДМ 1008 Кугураков;ДМ 1008 Кугураков; ;ДУ 907 Филиппов;ДУ 907 Филиппов; ; ; ; ; ; ; ; ;Пр-ние ЭВМ 1112 Хусаинов; ;ТИПиС 1009 Валидов;четверг; 8.30- 9.50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Практическая педагогика 801 Газизова; ; ;четверг; 8.30- 9.50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;четверг; 8.30- 9.50; ; ; ;СК 904 Бадриев;СК 808 Задворнов; ; ; ; ; ;КВ 809 Устюгова; ; ; ; ; ;четверг; 8.30- 9.50; ; ; ; ; ; ; 8.30- 9.50;четверг
четверг; 8.30- 9.50;МА 1114 Асхатов;МА 1114 Асхатов;МА 905 Жаркова;МА 905 Жаркова; ;Программирование 810 Мухтарова; ; ; ; ;Уч. пр-ка 910 Мубаракзянов;Уч. пр-ка 909 Бухараев;н/нА и Г 1010 Александрова; ; ; ;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров;Основы программирования/Информатика 109 Тагиров; ; ; ; ; ; ; ; ;четверг; 8.30- 9.50; ; ; ; ;ДУ 1006 Конюхов;ДМ 1008 Кугураков;ДМ 1008 Кугураков; ;ДУ 907 Филиппов;ДУ 907 Филиппов; ; ; ; ; ; ; ; ;Пр-ние ЭВМ 1112 Хусаинов; ;ТИПиС 1009 Валидов;четверг; 8.30- 9.50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Практическая педагогика 801 Газизова; ; ;четверг; 8.30- 9.50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;четверг; 8.30- 9.50; ; ; ;СК 904 Бадриев;СК 808 Задворнов; ; ; ; ; ;КВ 809 Устюгова; ; ; ; ; ;четверг; 8.30- 9.50; ; ; ; ; ; ; 8.30- 9.50;четверг
четверг;10.00-11.20;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов; ; ; ; ;ч/нМатематический анализ 1211 Желтухин;ч/нМатематический анализ 1211 Желтухин;ч/нМатематический анализ 1211 Желтухин;ч/нМатематический анализ 1211 Желтухин; ; ;ОП 809 Тагиров;ОП 808 Дябилкин;АиГ 1008 Рубцова;АиГ 1008 Рубцова;Практикум по инф-ке 1112 Галимзянов;Информатика 810 Шаймухаметов; ; ; ; ; ; ; ; ;четверг;10.00-11.20; ; ; ;Математический анализ 907 Дубровин;Математический анализ 907 Дубровин;Математический анализ 907 Дубровин;Математический анализ 907 Дубровин;ДУ 1006 Косолапов;Уч. пр-ка 910 Зиятдинов;ДМ 905 Пшеничный;ДМ 905 Пшеничный; ; ; ; ; ; ; ;ч/нДМ 1010 Нурмеев;ИСИС 1009 Гафаров;АИС 1111 Вагапов;четверг;10.00-11.20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Практическая педагогика 801 Газизова; ; ;четверг;10.00-11.20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;четверг;10.00-11.20; ; ; ;СК 1114 Задворнов;СК 1114 Задворнов; ; ; ;СК 904 Александрова;н/нИТО 811 Кириллова;ч/нИТО 811 Кириллова;СКАУП 909 Шустова Е.П.;СКАУП 909 Шустова Е.П.; ; ; ;четверг;10.00-11.20; ; ; ; ; ; ;10.00-11.20;четверг
четверг;10.00-11.20;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов;Математический анализ 1113 Асхатов; ; ; ; ;н/нПрограммирование для ЭВМ 1211 Мубаракзянов;н/нПрограммирование для ЭВМ 1211 Мубаракзянов;н/нПрограммирование для ЭВМ 1211 Мубаракзянов;н/нПрограммирование для ЭВМ 1211 Мубаракзянов; ; ;ОП 809 Тагиров;ОП 808 Дябилкин;АиГ 1008 Рубцова;АиГ 1008 Рубцова;Практикум по инф-ке 1112 Галимзянов;Информатика 810 Шаймухаметов; ; ; ; ; ; ; ; ;четверг;10.00-11.20; ; ; ;Математический анализ 907 Дубровин;Математический анализ 907 Дубровин;Математический анализ 907 Дубровин;Математический анализ 907 Дубровин;ДУ 1006 Косолапов;Уч. пр-ка 910 Зиятдинов;ДМ 905 Пшеничный;ДМ 905 Пшеничный; ; ; ; ; ; ; ;ч/нДМ 1010 Нурмеев;ИСИС 1009 Гафаров;АИС 1111 Вагапов;четверг;10.00-11.20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Практическая педагогика 801 Газизова; ; ;четверг;10.00-11.20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;четверг;10.00-11.20; ; ; ;СК 1114 Задворнов;СК 1114 Задворнов; ; ; ;СК 904 Александрова;н/нИТО 811 Кириллова;ч/нИТО 811 Кириллова;СКАУП 909 Шустова Е.П.;СКАУП 909 Шустова Е.П.; ; ; ;четверг;10.00-11.20; ; ; ; ; ; ;10.00-11.20;четверг
четверг;11.30-12.50; ;Программирование 811 Фофанов; ; ;МА 1211 Асхатов;МА 1211 Асхатов; ; ; ; ;МА 1114 Чебакова;МА 1114 Чебакова;Уч. пр-ка 910 Лещев;Пр-кум ЭВМ 909 Хадиев К.Р.; ; ;Пр-кум ЭВМ 809 Тагиров;Пр-кум ЭВМ 810 Дябилкин; ; ;Физика 1311 Фишман;Физика 1311 Фишман; ; ; ; ; ; ; ; ;четверг;11.30-12.50; ; ; ;н/нДГИ 808 Мубаракзянов;ч/нДГИ 808 Бухараев;МА 1008 Дубровин;МА 1006 Володин;Дискретная математика 1113 Пшеничный;Дискретная математика 1113 Пшеничный;Дискретная математика 1113 Пшеничный;Дискретная математика 1113 Пшеничный; ; ; ; ; ; ; ;ТИПиС 1112 Хадиев;АИС 1111 Вагапов;ИСИС 1009 Гафаров;четверг;11.30-12.50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Право в сфере образования 801 ; ; ;четверг;11.30-12.50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ПИС 811 Галиуллин;Упр-ние обр-ными сис-ми 1010 Фахрутдинова;Упр-ние обр-ными сис-ми 1010 Фахрутдинова; ; ;четверг;11.30-12.50; ; ; ;ч/нСК  Задворнов;ч/нСК  Задворнов; ;СК 904 Еникеев; ; ;Информационные технологии в образовании 905 Кириллова;Информационные технологии в образовании 905 Кириллова;СКАУП 907 Шустова Е.П.;СКАУП 907 Шустова Е.П.; ; ; ;четверг;11.30-12.50; ; ; ; ; ; ;11.30-12.50;четверг
четверг;11.30-12.50; ;Программирование 811 Фофанов; ; ;МА 1211 Асхатов;МА 1211 Асхатов; ; ; ; ;МА 1114 Чебакова;МА 1114 Чебакова;Уч. пр-ка 910 Лещев;Пр-кум ЭВМ 909 Хадиев К.Р.; ; ;Пр-кум ЭВМ 809 Тагиров;Пр-кум ЭВМ 810 Дябилкин; ; ;Физика 1311 Фишман;Физика 1311 Фишман; ; ; ; ; ; ; ; ;четверг;11.30-12.50; ; ; ;н/нДГИ 808 Мубаракзянов;ч/нДГИ 808 Бухараев;МА 1008 Дубровин;МА 1006 Володин;Дискретная математика 1113 Пшеничный;Дискретная математика 1113 Пшеничный;Дискретная математика 1113 Пшеничный;Дискретная математика 1113 Пшеничный; ; ; ; ; ; ; ;ТИПиС 1112 Хадиев;АИС 1111 Вагапов;ИСИС 1009 Гафаров;четверг;11.30-12.50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Право в сфере образования 801 ; ; ;четверг;11.30-12.50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ПИС 811 Галиуллин;Упр-ние обр-ными сис-ми 1010 Фахрутдинова;Упр-ние обр-ными сис-ми 1010 Фахрутдинова; ; ;четверг;11.30-12.50; ; ; ;ч/нСК  Задворнов;ч/нСК  Задворнов; ;СК 904 Еникеев; ; ;Информационные технологии в образовании 905 Кириллова;Информационные технологии в образовании 905 Кириллова;СКАУП 907 Шустова Е.П.;СКАУП 907 Шустова Е.П.; ; ; ;четверг;11.30-12.50; ; ; ; ; ; ;11.30-12.50;четверг
четверг;13.05-14.25;Программирование 1113 Фофанов;Программирование 1113 Фофанов;Программирование 1113 Фофанов;Программирование 1113 Фофанов;Программирование 1113 Фофанов;Программирование 1113 Фофанов; ; ; ; ; ; ;МА 1010 Шерман;МА 1010 Шерман; ; ; ; ; ;Пр-кум ЭВМ 810 Андрианова;Решение задач по физике 1404 ;Решение задач по физике 801 ; ; ; ; ; ; ; ; ;четверг;13.05-14.25; ; ; ;Уч. пр-ка 910 Мубаракзянов; ; ;Уч. пр-ка 909 Абрамский;ДМ 1008 Замов;ДМ 1008 Замов; ;ДУ 1006 Саламатин; ; ; ; ; ; ; ;н/нЭкология 1311 ;н/нЭкология 1311 ;н/нЭкология 1311 ;четверг;13.05-14.25; ; ; ; ;ч/нЭкономика 1311 ; ; ; ; ; ; ; ; ; ; ; ;Теория систем и системный анализ 1114 Каюмова;Теория систем и системный анализ 1114 Каюмова;Уч. пр-ка 1111 Гайнанова;ч/нТеор. основы БД 1009 Аюпов;ч/нТеор. основы БД 1009 Аюпов;четверг;13.05-14.25; ; ; ; ; ; ; ; ; ;ЧМ 808 Тимербаев; ;Пр-кум ЭВМ (1/2) 809 Устюгова; ; ;БИС 904 Рахматуллина;ч/нЧисленные методы 907 Аганин;ч/нЧисленные методы 907 Аганин;н/нОМ 1112 Хакимов;ч/нОМ 1112 Хакимов; ; ;четверг;13.05-14.25; ; ; ; ; ;СК 905 Кугураков;СК 905 Кугураков; ; ;ч/нКВ 811 Тагиров; ; ; ; ; ; ;четверг;13.05-14.25; ; ; ; ; ; ;13.05-14.25;четверг
четверг;13.05-14.25;Программирование 1113 Фофанов;Программирование 1113 Фофанов;Программирование 1113 Фофанов;Программирование 1113 Фофанов;Программирование 1113 Фофанов;Программирование 1113 Фофанов; ; ; ; ; ; ;МА 1010 Шерман;МА 1010 Шерман; ; ; ; ; ;Пр-кум ЭВМ 810 Андрианова;Решение задач по физике 1404 ;Решение задач по физике 801 ; ; ; ; ; ; ; ; ;четверг;13.05-14.25; ; ; ;Уч. пр-ка 910 Мубаракзянов; ; ;Уч. пр-ка 909 Абрамский;ДМ 1008 Замов;ДМ 1008 Замов; ;ДУ 1006 Саламатин; ; ; ; ; ; ; ;ч/нТеория информационных процессов и систем 1211 Хадиев;ч/нТеория информационных процессов и систем 1211 Хадиев;ч/нТеория информационных процессов и систем 1211 Хадиев;четверг;13.05-14.25; ; ; ; ;н/нМС 811 Каштанова; ; ; ; ; ; ; ; ; ; ; ;Теория систем и системный анализ 1114 Каюмова;Теория систем и системный анализ 1114 Каюмова;Уч. пр-ка 1111 Гайнанова;н/нАрхитектура ЭВМ 1009 Аюпов;н/нАрхитектура ЭВМ 1009 Аюпов;четверг;13.05-14.25; ; ; ; ; ; ; ; ; ;ЧМ 808 Тимербаев; ;Пр-кум ЭВМ (1/2) 809 Устюгова; ; ;БИС 904 Рахматуллина;н/нИсп-ние Maple 907 Гайнутдинова Т.Ю.;н/нИсп-ние Maple 907 Гайнутдинова Т.Ю.;ч/нИмпользование МП и НИД  Гайнутдинова Т.Ю.; ; ; ;четверг;13.05-14.25; ; ; ; ; ;СК 905 Кугураков;СК 905 Кугураков; ; ;ч/нКВ 811 Тагиров; ; ; ; ; ; ;четверг;13.05-14.25; ; ; ; ; ; ;13.05-14.25;четверг
четверг;14.40-16.00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;четверг;14.40-16.00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Архитектура информационных систем 1211 Галимянов;Архитектура информационных систем 1211 Галимянов;Архитектура информационных систем 1211 Галимянов;четверг;14.40-16.00; ; ; ; ;Базы данных 342 г.з. Хайруллин;Базы данных 342 г.з. Хайруллин;Базы данных 342 г.з. Хайруллин;Базы данных 342 г.з. Хайруллин;Базы данных 342 г.з. Хайруллин;Базы данных 342 г.з. Хайруллин; ; ; ;ч/нДифференциальные и разностные уравнения 1113 Соловьев С.И.;ч/нДифференциальные и разностные уравнения 1113 Соловьев С.И.;ч/нДифференциальные и разностные уравнения 1113 Соловьев С.И.;ЛОИС 1112 Каюмова;Техн-гии прогр-ния 1111 Гайнанова; ;н/нООП 905 Аюпов;н/нООП 905 Аюпов;четверг;14.40-16.00; ; ; ; ; ; ; ; ;н/нТеория игр и исследование операций 108 Хабибуллин;н/нТеория игр и исследование операций 108 Хабибуллин;н/нТеория игр и исследование операций 108 Хабибуллин;н/нТеория игр и исследование операций 108 Хабибуллин;н/нТеория игр и исследование операций 108 Хабибуллин;н/нТеория игр и исследование операций 108 Хабибуллин;БИС 1009 Рахматуллина;ПИС 809 Галиуллин; ;ч/нОсновы микроэлектроники 1008 Хакимов;ч/нОсновы микроэлектроники 1008 Хакимов;ч/нМС 811 Гильмуллин;ч/нМС 811 Гильмуллин;четверг;14.40-16.00; ; ; ; ; ;н/нСК 907 Кугураков;н/нСК 907 Кугураков; ; ; ; ;Нечеткие алгоритмы 1010 Шустова Е.П.;Нечеткие алгоритмы 1010 Шустова Е.П.;Теория об-ния АЯ 1514 ; ; ;четверг;14.40-16.00;Современные проблемы финансовой математики 1114 Халиуллин;ч/нДГМО 1312 Кораблев;Современные проблемы финансовой математики 1114 Халиуллин;Функциональный анализ 904 Павлова;СК 1006 Разинков;Страховая математика 801 Казанцев;14.40-16.00;четверг
